ID,Date,Holiday,NEM,AFMA_NSW,AFMA_VIC,AFMA_SA,AFMA_QLD,AFMA_TAS,ASX_NSW,ASX_VIC,ASX_SA,ASX_QLD,Official_NSW,Official_VIC,Official_QLD,Official_TAS,Official_SA,Official_ACT,Official_WA,Official_NT
1,2002-01-01,New Year's Day                ,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true
2,2002-01-28,Australia Day                 ,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true
3,2002-02-11,Royal Hobart Regatta          ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
4,2002-03-11,Eight Hours Day               ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
5,2002-03-11,Labour Day                    ,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
6,2002-03-29,Good Friday                   ,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true
7,2002-04-01,Easter Monday                 ,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true
8,2002-04-25,ANZAC Day                     ,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true
9,2002-05-06,Labour Day                    ,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false
10,2002-05-20,Adelaide Cup Day              ,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false
11,2002-06-10,Queen's Birthday              ,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true
12,2002-08-14,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
13,2002-10-07,Labour Day                    ,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,false,false,false
14,2002-10-24,Royal Hobart Show             ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
15,2002-11-05,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
16,2002-12-25,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
17,2002-12-26,Boxing Day / Proclamation Day ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
18,2003-01-01,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
19,2003-01-27,Australia Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
20,2003-02-10,Royal Hobart Regatta          ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
21,2003-03-10,Eight Hours Day               ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
22,2003-03-10,Labour Day                    ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
23,2003-04-18,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
24,2003-04-21,Easter Monday                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
25,2003-04-25,ANZAC Day                     ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
26,2003-05-05,Labour Day                    ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
27,2003-05-19,Adelaide Cup Day              ,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false
28,2003-06-09,Queen's Birthday              ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
29,2003-08-13,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
30,2003-10-06,Labour Day                    ,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,false,false,false
31,2003-10-23,Royal Hobart Show             ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
32,2003-11-04,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
33,2003-12-25,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
34,2003-12-26,Boxing Day / Proclamation Day ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
35,2004-01-01,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
36,2004-01-26,Australia Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
37,2004-02-09,Royal Hobart Regatta          ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
38,2004-03-08,Eight Hours Day               ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
39,2004-03-08,Labour Day                    ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
40,2004-04-09,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
41,2004-04-12,Easter Monday                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
42,2004-04-26,ANZAC Day                     ,false,true,false,true,true,false,true,false,true,true,true,false,true,false,true,false,false,false
43,2004-05-03,Labour Day                    ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
44,2004-05-17,Adelaide Cup Day              ,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false
45,2004-06-14,Queen's Birthday              ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
46,2004-08-11,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
47,2004-10-04,Labour Day                    ,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,false,false,false
48,2004-10-21,Royal Hobart Show             ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
49,2004-11-02,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
50,2004-12-27,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
51,2004-12-28,Boxing Day / Proclamation Day ,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true
52,2005-01-03,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
